User Id,Players Name ,Category ,Team Name ,Scores,
108,Sai Siddharth,Online ,Rajasthan Titlers,0,
109,Sanjay Taneja,Live  ,Rajasthan Titlers,0,
110,Saumil Krishnani,Live,Rajasthan Titlers,0,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
