City,Venue,Tournament Name,Date,No of Entries,Winnings
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-11,4/1/2017 14:30,120,Top 20%
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-12,4/2/2017 14:30,120,Top 20%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
